market_id,app_name,account_name,am_name,total_spend_90d,non_vx_spend_90d,vx_spend_90d,vx_spend_pct_90d,vx_rank_90d,exchanges_above_vx_90d,vx_video_spend_90d,vx_video_pct_90d,vx_non_video_spend_90d,vx_non_video_pct_90d,non_vx_video_spend_90d,non_vx_video_pct_90d,non_vx_non_video_spend_90d,non_vx_non_video_pct_90d,vx_video_rank_90d,exchanges_above_vx_video_90d,vx_non_video_rank_90d,exchanges_above_vx_non_video_90d,from_previous_analysis,total_spend_30d,non_vx_spend_30d,vx_spend_30d,vx_spend_pct_30d,vx_rank_30d,exchanges_above_vx_30d,won_or_lost_rank_30d,vx_video_spend_30d,vx_video_pct_30d,vx_non_video_spend_30d,vx_non_video_pct_30d,non_vx_video_spend_30d,non_vx_video_pct_30d,non_vx_non_video_spend_30d,non_vx_non_video_pct_30d,vx_video_rank_30d,exchanges_above_vx_video_30d,vx_non_video_rank_30d,exchanges_above_vx_non_video_30d
1617391485,Block Blast-ios,jiayou,Sunton Sun,12231811.926915742,4851247.771364916,7380564.155550827,60.34,1,VX not present,5539378.650747254,75.34,1812651.3989850236,24.66,3014412.3109290027,62.48,1810384.1730225985,37.52,1.0,,1.0,,,3507511.956136897,1373543.4780545405,2133968.4780823565,60.84,1,VX not present,Held,1661757.7121679762,77.52,481775.9600530653,22.48,873563.8437859883,64.02,490984.0387461105,35.98,1.0,,1.0,
com.block.juggle,Block Juggle—GP,jiayou,Sunton Sun,4449054.683211286,2067117.6131388296,2381937.070072456,53.54,1,VX not present,2164908.9769736626,91.07,212278.24050104085,8.93,1722722.569704987,83.48,340804.6090216037,16.52,1.0,,1.0,,,1345248.760708182,632292.0090889371,712956.7516192449,53.0,1,VX not present,Held,651207.0536430202,91.89,57459.91317397066,8.11,532459.7210489952,84.88,94876.61051599025,15.12,1.0,,1.0,
766443283,IOS | Flashscore: Live Scores & News,Livesport sro,Louis Wallworth,3888034.171786315,315911.6917547229,3572122.480031592,91.87,1,VX not present,3080601.9039934394,87.35,446267.0512311006,12.65,2182.3342640001783,0.69,314124.24016466853,99.31,1.0,,1.0,,,498250.5906442952,118316.32044877176,379934.27019552345,76.25,1,VX not present,Held,201856.54582576672,57.11,151616.69735587112,42.89,846.845848000004,0.72,117439.97961691464,99.28,1.0,,1.0,
6468921495,Vita Mahjong,OAKEVER GAMES PTE LTD,Aria Gao,3637116.141616899,2523557.377292864,1113558.7643240355,30.62,1,VX not present,1082409.1434330037,97.45,28275.64099800244,2.55,2453214.785544949,97.51,62563.61852397514,2.49,1.0,,1.0,,,1013623.6315528636,713174.7345688506,300448.8969840129,29.64,1,VX not present,Held,293846.9267679895,97.79,6627.306612000072,2.21,692605.4746279985,97.6,17000.886955004087,2.4,1.0,,1.0,
319881193,Grindr - iOS,Grindr,Kasey Geist,3296217.846543146,2681204.218192319,615013.6283508268,18.66,3,"APPODEAL, VERVE",365775.9429670067,59.48,249149.38505062828,40.52,1853652.794388996,69.37,818332.619623779,30.63,3.0,"APPODEAL, VERVE",1.0,,,970451.392821899,826683.581598011,143767.81122388807,14.81,3,"APPODEAL, VERVE",Held,94117.7380329993,65.78,48957.068170013335,34.22,582463.722191998,71.39,233410.89971401202,28.61,3.0,"APPODEAL, VERVE",3.0,"VERVE, MINTEGRAL"
591560124,Musi - Simple Music Streaming,Musi Inc.,Matthew Hong,3002737.8156708702,1579415.5609422978,1423322.2547285722,47.4,1,VX not present,844663.6377769709,59.49,575264.7329991818,40.51,888101.1111750015,56.53,682950.4274167158,43.47,1.0,,1.0,,,871185.4192659801,461453.9102497811,409731.509016199,47.03,1,VX not present,Held,264389.83540600195,65.02,142252.71929888322,34.98,251139.60062200003,55.23,203564.69772200138,44.77,1.0,,1.0,
359917414,iOS Solitaire,Mobility Ware,Natalie Kenyon,2842637.0997809246,1101464.7341285318,1741172.365652393,61.25,1,VX not present,1685007.0870461927,97.11,50216.23271900673,2.89,1067829.2573290484,97.38,28759.086405000893,2.62,1.0,,1.0,,,900281.884134932,342738.45666001184,557543.4274749202,61.93,1,VX not present,Held,537824.479072996,97.67,12837.027338002303,2.33,331290.2496559988,97.29,9237.95773900007,2.71,1.0,,1.0,
com.vitastudio.mahjong,Vita Mahjong Android,OAKEVER GAMES PTE LTD,Aria Gao,2496606.1010357803,1402888.7345867916,1093717.366448989,43.81,1,VX not present,1082617.7441619905,99.14,9361.672446002112,0.86,1375830.6108679692,98.08,26952.19990500208,1.92,1.0,,1.0,,,732168.246107898,431528.0600538767,300640.1860540212,41.06,1,VX not present,Held,296635.6325019886,99.03,2902.0712359998297,0.97,423991.36953199713,98.2,7754.158418999845,1.8,1.0,,1.0,
6748950306,Word Solitaire: Associations IOS,HITAPPS GAMES LTD,Beth Taylor-Lowen,2358344.7662241342,950441.3825861552,1407903.3836379792,59.7,1,VX not present,1158969.2430469422,82.48,246195.78282208485,17.52,518766.0177819982,54.77,428466.7105923422,45.23,1.0,,1.0,,,758505.1387424236,251541.3190614833,506963.8196809403,66.84,1,VX not present,Held,437821.25478898815,87.13,64684.651968986655,12.87,127524.0808340001,51.32,120967.04500485878,48.68,1.0,,1.0,
553834731,Candy Crush Saga_iOS,Activision Blizzard Media (King),Kasey Geist,2179799.77929949,966882.3866071248,1212917.3926923652,55.64,1,VX not present,1207975.478139345,100.0,0.0,0.0,963487.6752208325,100.0,0.084285,0.0,1.0,,-1.0,VX not present,,651742.374187905,322226.15443395975,329516.21975394525,50.56,1,VX not present,Held,324039.969288948,100.0,0.0,0.0,321388.51095401065,100.0,3e-06,0.0,1.0,,-1.0,VX not present
