Market ID,App Name,Account Name,AM Name,From Previous Analysis?,Total Spend (90D),VX Spend (90D),Non-VX Spend (90D),VX Spend % (90D),VX Rank (90D),Exchanges Above VX (90D),VX Video Spend (90D),VX Video % (90D),VX Non-Video Spend (90D),VX Non-Video % (90D),VX Video Rank (90D),Exchanges Above VX - Video (90D),VX Non-Video Rank (90D),Exchanges Above VX - Non-Video (90D),Non-VX Video Spend (90D),Non-VX Video % (90D),Non-VX Non-Video Spend (90D),Non-VX Non-Video % (90D),Total Spend (30D),VX Spend (30D),Non-VX Spend (30D),VX Spend % (30D),VX Rank (30D),Exchanges Above VX (30D),Won or Lost Rank (30D)?,VX Video Spend (30D),VX Video % (30D),VX Non-Video Spend (30D),VX Non-Video % (30D),VX Video Rank (30D),Exchanges Above VX - Video (30D),VX Non-Video Rank (30D),Exchanges Above VX - Non-Video (30D),Non-VX Video Spend (30D),Non-VX Video % (30D),Non-VX Non-Video Spend (30D),Non-VX Non-Video % (30D)
1617391485,Block Blast-ios,jiayou,Sunton Sun,,12231811.926915742,7380564.155550827,4851247.771364916,0.6034,1,VX not present,5539378.650747254,0.7534,1812651.3989850236,0.2466,1.0,,1.0,,3014412.3109290027,0.6248,1810384.1730225985,0.3752,3507511.956136897,2133968.4780823565,1373543.4780545405,0.6084,1,VX not present,Held,1661757.7121679762,0.7752,481775.9600530653,0.2248,1.0,,1.0,,873563.8437859883,0.6402,490984.0387461105,0.3598
com.block.juggle,Block Juggle—GP,jiayou,Sunton Sun,,4449054.683211286,2381937.070072456,2067117.6131388296,0.5354,1,VX not present,2164908.9769736626,0.9107,212278.24050104083,0.0893,1.0,,1.0,,1722722.569704987,0.8348,340804.6090216037,0.1652,1345248.760708182,712956.7516192449,632292.0090889371,0.53,1,VX not present,Held,651207.0536430202,0.9189,57459.91317397066,0.0811,1.0,,1.0,,532459.7210489952,0.8488,94876.61051599024,0.1512
766443283,IOS | Flashscore: Live Scores & News,Livesport sro,Louis Wallworth,,3888034.171786315,3572122.480031592,315911.6917547229,0.9187,1,VX not present,3080601.9039934394,0.8735,446267.0512311006,0.1265,1.0,,1.0,,2182.3342640001783,0.0069,314124.24016466853,0.9931,498250.5906442952,379934.27019552345,118316.32044877176,0.7625,1,VX not present,Held,201856.54582576672,0.5711,151616.69735587112,0.4289,1.0,,1.0,,846.845848000004,0.0072,117439.97961691464,0.9928
6468921495,Vita Mahjong,OAKEVER GAMES PTE LTD,Aria Gao,,3637116.141616899,1113558.7643240355,2523557.377292864,0.3062,1,VX not present,1082409.1434330037,0.9745,28275.64099800244,0.0255,1.0,,1.0,,2453214.785544949,0.9751,62563.61852397514,0.0249,1013623.6315528636,300448.8969840129,713174.7345688506,0.2964,1,VX not present,Held,293846.9267679895,0.9779,6627.306612000072,0.0221,1.0,,1.0,,692605.4746279985,0.976,17000.886955004087,0.024
319881193,Grindr - iOS,Grindr,Kasey Geist,,3296217.846543146,615013.6283508268,2681204.218192319,0.1866,3,"APPODEAL, VERVE",365775.9429670067,0.5948,249149.38505062828,0.4052,3.0,"APPODEAL, VERVE",1.0,,1853652.794388996,0.6937,818332.619623779,0.3063,970451.392821899,143767.81122388807,826683.581598011,0.1481,3,"APPODEAL, VERVE",Held,94117.7380329993,0.6578,48957.068170013335,0.3422,3.0,"APPODEAL, VERVE",3.0,"VERVE, MINTEGRAL",582463.722191998,0.7139,233410.899714012,0.2861
591560124,Musi - Simple Music Streaming,Musi Inc.,Matthew Hong,,3002737.8156708702,1423322.2547285722,1579415.5609422978,0.474,1,VX not present,844663.6377769709,0.5949,575264.7329991818,0.4051,1.0,,1.0,,888101.1111750015,0.5653,682950.4274167158,0.4347,871185.4192659801,409731.509016199,461453.9102497811,0.4703,1,VX not present,Held,264389.83540600195,0.6502,142252.71929888322,0.3498,1.0,,1.0,,251139.60062200003,0.5523,203564.69772200135,0.4477
359917414,iOS Solitaire,Mobility Ware,Natalie Kenyon,,2842637.0997809246,1741172.365652393,1101464.7341285318,0.6125,1,VX not present,1685007.0870461927,0.9711,50216.23271900673,0.0289,1.0,,1.0,,1067829.2573290484,0.9738,28759.086405000893,0.0262,900281.884134932,557543.4274749202,342738.45666001184,0.6193,1,VX not present,Held,537824.479072996,0.9767,12837.027338002305,0.0233,1.0,,1.0,,331290.2496559988,0.9729,9237.95773900007,0.0271
com.vitastudio.mahjong,Vita Mahjong Android,OAKEVER GAMES PTE LTD,Aria Gao,,2496606.1010357803,1093717.366448989,1402888.7345867916,0.4381,1,VX not present,1082617.7441619905,0.9914,9361.672446002112,0.0086,1.0,,1.0,,1375830.6108679692,0.9808,26952.19990500208,0.0192,732168.246107898,300640.1860540212,431528.0600538767,0.4106,1,VX not present,Held,296635.6325019886,0.9903,2902.0712359998297,0.0097,1.0,,1.0,,423991.36953199713,0.982,7754.158418999845,0.018
6748950306,Word Solitaire: Associations IOS,HITAPPS GAMES LTD,Beth Taylor-Lowen,,2358344.7662241342,1407903.3836379792,950441.3825861552,0.597,1,VX not present,1158969.2430469422,0.8248,246195.78282208485,0.1752,1.0,,1.0,,518766.0177819982,0.5477,428466.7105923422,0.4523,758505.1387424236,506963.8196809403,251541.3190614833,0.6684,1,VX not present,Held,437821.25478898815,0.8713,64684.651968986655,0.1287,1.0,,1.0,,127524.0808340001,0.5132,120967.04500485878,0.4868
553834731,Candy Crush Saga_iOS,Activision Blizzard Media (King),Kasey Geist,,2179799.77929949,1212917.3926923652,966882.3866071248,0.5564,1,VX not present,1207975.478139345,1.0,0.0,0.0,1.0,,-1.0,VX not present,963487.6752208323,1.0,0.084285,0.0,651742.374187905,329516.21975394525,322226.15443395975,0.5056,1,VX not present,Held,324039.969288948,1.0,0.0,0.0,1.0,,-1.0,VX not present,321388.51095401065,1.0,3e-06,0.0
